code,name,name_ascii,geonameid,iso,id,name_cn
SV.14,Usulután,Usulutan,3582882,SV,14,
SV.13,Sonsonate Department,Sonsonate Department,3583101,SV,13,松索纳特省
SV.12,San Vicente Department,San Vicente Department,3583176,SV,12,圣维森特省
SV.11,Santa Ana Department,Santa Ana Department,3583332,SV,11,圣安娜省
SV.10,San Salvador Department,San Salvador Department,3583360,SV,10,圣萨尔瓦多省
SV.09,San Miguel Department,San Miguel Department,3583462,SV,9,圣米格尔省
SV.08,Morazán,Morazan,3584317,SV,8,
SV.07,La Unión,La Union,3584767,SV,7,
SV.06,La Paz Department,La Paz Department,3585087,SV,6,拉巴斯省
SV.05,La Libertad Department,La Libertad Department,3585155,SV,5,拉利伯塔德省
SV.04,Cuscatlán,Cuscatlan,3586831,SV,4,
SV.03,Chalatenango Department,Chalatenango Department,3587090,SV,3,查拉特南戈省
SV.02,Cabañas,Cabanas,3587217,SV,2,
SV.01,Ahuachapán,Ahuachapan,3587425,SV,1,
