code,name,name_ascii,geonameid,iso,id,name_cn
SY.14,Tartus,Tartus,163342,SY,14,塔尔图斯省
SY.13,Dimashq,Dimashq,167541,SY,13,大馬士革省
SY.12,Idlib,Idlib,169387,SY,12,伊德利卜省
SY.11,Homs,Homs,169575,SY,11,霍姆斯省
SY.10,Hama,Hama,170015,SY,10,哈马省
SY.09,Aleppo,Aleppo,170062,SY,9,阿勒颇省
SY.08,Rif-dimashq,Rif-dimashq,170652,SY,8,大马士革农村省
SY.07,Deir ez-Zor,Deir ez-Zor,170792,SY,7,代尔祖尔省
SY.06,Daraa,Daraa,170903,SY,6,德拉省
SY.05,As-Suwayda,As-Suwayda,172410,SY,5,苏韦达省
SY.04,Ar-Raqqah,Ar-Raqqah,172957,SY,4,拉卡省
SY.03,Quneitra,Quneitra,173336,SY,3,库奈特拉省
SY.02,Latakia,Latakia,173578,SY,2,拉塔基亚省
SY.01,Al-Hasakah,Al-Hasakah,173813,SY,1,哈塞克省
