code,name,name_ascii,geonameid,iso,id,name_cn
TD.13,Salamat,Salamat,242048,TD,13,萨拉马特区
TD.12,Ouadaï,Ouadai,242246,TD,12,瓦达伊区
TD.02,Wadi Fira,Wadi Fira,244877,TD,2,瓦迪菲拉区
TD.14,Tandjilé,Tandjile,2425287,TD,14,坦吉莱区
TD.17,Moyen-Chari,Moyen-Chari,2427315,TD,17,中沙里区
TD.16,Mayo-Kebbi Est,Mayo-Kebbi Est,2428132,TD,16,东凯比河区
TD.09,Logone Oriental,Logone Oriental,2429058,TD,9,东洛贡区
TD.08,Logone Occidental,Logone Occidental,2429060,TD,8,西洛贡区
TD.07,Lac,Lac,2429323,TD,7,湖区
TD.06,Kanem,Kanem,2430873,TD,6,加奈姆区
TD.05,Guéra,Guera,2431555,TD,5,盖拉区
TD.15,Chari-Baguirmi,Chari-Baguirmi,2434478,TD,15,沙里-巴吉尔米区
TD.01,Batha,Batha,2435899,TD,1,巴塔区
TD.23,Borkou,Borkou,7602866,TD,23,博尔库区
TD.18,Hadjer-Lamis,Hadjer-Lamis,7603251,TD,18,哈杰尔-拉密区
TD.19,Mandoul,Mandoul,7603252,TD,19,芒杜尔区
TD.20,Mayo-Kebbi Ouest,Mayo-Kebbi Ouest,7603253,TD,20,西凯比河区
TD.21,N’Djaména,N'Djamena,7603254,TD,21,恩贾梅纳
TD.22,Barh el Gazel,Barh el Gazel,7603255,TD,22,巴赫尔盖泽勒区
TD.25,Sila,Sila,7603257,TD,25,西拉区
TD.26,Tibesti,Tibesti,7603258,TD,26,提贝斯提区
TD.28,Ennedi-Ouest,Ennedi-Ouest,8604857,TD,28,西恩内迪区
TD.27,Ennedi-Est,Ennedi-Est,8604858,TD,27,西恩内迪区
