code,name,name_ascii,geonameid,iso,id,name_cn
TH.15,Uthai Thani,Uthai Thani,1149965,TH,15,乌泰他尼
TH.65,Trang,Trang,1150006,TH,65,董里
TH.08,Tak,Tak,1150489,TH,8,达府
TH.60,Surat Thani,Surat Thani,1150514,TH,60,素叻他尼府
TH.09,Sukhothai,Sukhothai,1150532,TH,9,素可泰府
TH.52,Ratchaburi,Ratchaburi,1150953,TH,52,叻武里府
TH.59,Ranong province,Ranong province,1150964,TH,59,拉廊府
TH.57,Prachuap Khiri Khan,Prachuap Khiri Khan,1151073,TH,57,巴蜀府
TH.62,Phuket,Phuket,1151253,TH,62,普吉府
TH.56,Phetchaburi,Phetchaburi,1151416,TH,56,碧武里府
TH.61,Phang Nga,Phang Nga,1151462,TH,61,攀牙府
TH.01,Mae Hong Son,Mae Hong Son,1152221,TH,1,夜丰颂府
TH.05,Lamphun,Lamphun,1152467,TH,5,南奔府
TH.06,Lampang,Lampang,1152472,TH,6,南邦府
TH.63,Krabi,Krabi,1152631,TH,63,甲米府
TH.50,Kanchanaburi,Kanchanaburi,1153080,TH,50,北碧府
TH.11,Kamphaeng Phet,Kamphaeng Phet,1153089,TH,11,甘烹碧府
TH.58,Chumphon,Chumphon,1153555,TH,58,春蓬府
TH.03,Chiang Rai,Chiang Rai,1153668,TH,3,清莱府
TH.02,Chiang Mai,Chiang Mai,1153670,TH,2,清迈府
TH.72,Yasothon,Yasothon,1604767,TH,72,益梭通府
TH.70,Yala,Yala,1604869,TH,70,也拉府
TH.10,Uttaradit,Uttaradit,1605214,TH,10,程逸府
TH.49,Trat,Trat,1605277,TH,49,达叻
TH.29,Surin,Surin,1606029,TH,29,素林府
TH.51,Suphan Buri,Suphan Buri,1606032,TH,51,素攀府
TH.68,Songkhla,Songkhla,1606146,TH,68,宋卡府
TH.30,Si Sa Ket,Si Sa Ket,1606238,TH,30,四色菊府
TH.33,Sing Buri,Sing Buri,1606269,TH,33,信武里府
TH.67,Satun,Satun,1606375,TH,67,沙敦府
TH.37,Saraburi,Saraburi,1606417,TH,37,沙拉武里府
TH.54,Samut Songkhram,Samut Songkhram,1606585,TH,54,沙没颂堪府
TH.55,Samut Sakhon,Samut Sakhon,1606587,TH,55,沙没沙空府
TH.42,Samut Prakan,Samut Prakan,1606589,TH,42,沙没巴干府
TH.20,Sakon Nakhon,Sakon Nakhon,1606789,TH,20,沙功那空府
TH.25,Roi Et,Roi Et,1607000,TH,25,黎逸府
TH.47,Rayong,Rayong,1607016,TH,47,罗勇府
TH.36,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,1607530,TH,36,大城府
TH.07,Phrae,Phrae,1607551,TH,7,帕府
TH.12,Phitsanulok,Phitsanulok,1607707,TH,12,彭世洛府
TH.13,Phichit,Phichit,1607724,TH,13,披集府
TH.14,Phetchabun,Phetchabun,1607736,TH,14,碧差汶府
TH.41,Phayao,Phayao,1607758,TH,41,帕尧府
TH.66,Phatthalung,Phatthalung,1607778,TH,66,博他仑府
TH.69,Pattani,Pattani,1607976,TH,69,北大年府
TH.39,Pathum Thani,Pathum Thani,1607982,TH,39,巴吞他尼府
TH.38,Nonthaburi,Nonthaburi,1608132,TH,38,暖武里
TH.17,Nong Khai,Nong Khai,1608231,TH,17,廊开府
TH.31,Narathiwat,Narathiwat,1608408,TH,31,那拉提瓦府
TH.04,Nan,Nan,1608451,TH,4,楠府
TH.64,Nakhon Si Thammarat,Nakhon Si Thammarat,1608525,TH,64,那空是贪玛叻府
TH.16,Nakhon Sawan,Nakhon Sawan,1608526,TH,16,那空沙旺府
TH.27,Nakhon Ratchasima,Nakhon Ratchasima,1608528,TH,27,那空叻差是玛府
TH.73,Nakhon Phanom,Nakhon Phanom,1608530,TH,73,那空拍侬府
TH.53,Nakhon Pathom,Nakhon Pathom,1608533,TH,53,佛统府
TH.43,Nakhon Nayok,Nakhon Nayok,1608538,TH,43,那空那育府
TH.78,Mukdahan,Mukdahan,1608595,TH,78,穆达汉府
TH.24,Maha Sarakham,Maha Sarakham,1608899,TH,24,马哈沙拉堪府
TH.34,Lopburi,Lopburi,1609031,TH,34,华富里府
TH.18,Loei,Loei,1609070,TH,18,黎府
TH.40,Bangkok,Bangkok,1609348,TH,40,曼谷
TH.22,Khon Kaen,Khon Kaen,1609775,TH,22,孔敬府
TH.23,Kalasin,Kalasin,1610468,TH,23,加拉信府
TH.46,Chon Buri,Chon Buri,1611108,TH,46,春武里府
TH.48,Chanthaburi,Chanthaburi,1611268,TH,48,庄他武里府
TH.26,Chaiyaphum,Chaiyaphum,1611406,TH,26,猜也蓬府
TH.32,Chai Nat,Chai Nat,1611415,TH,32,猜纳府
TH.44,Chachoengsao,Chachoengsao,1611438,TH,44,差春骚府
TH.28,Buriram,Buriram,1611452,TH,28,武里南府
TH.35,Ang Thong,Ang Thong,1621034,TH,35,红统
TH.76,Udon Thani,Udon Thani,1906686,TH,76,乌隆府
TH.74,Prachin Buri,Prachin Buri,1906687,TH,74,巴真府
TH.75,Ubon Ratchathani,Ubon Ratchathani,1906688,TH,75,乌汶府
TH.77,Amnat Charoen,Amnat Charoen,1906689,TH,77,安纳乍伦府
TH.79,Nong Bua Lamphu,Nong Bua Lamphu,1906690,TH,79,农磨兰普府
TH.80,Sa Kaeo,Sa Kaeo,1906691,TH,80,沙缴府
TH.81,Bueng Kan,Bueng Kan,8133594,TH,81,汶干府
