code,name,name_ascii,geonameid,iso,id,name_cn
TL.VI,Viqueque,Viqueque,1622470,TL,VI,维克克县
TL.MF,Manufahi,Manufahi,1636309,TL,MF,马努法伊县
TL.MT,Manatuto,Manatuto,1636525,TL,MT,马纳图托县
TL.LI,Liquiçá,Liquica,1637729,TL,LI,利基萨县
TL.LA,Lautém,Lautem,1638294,TL,LA,劳滕县
TL.CO,Cova Lima,Cova Lima,1639462,TL,CO,科瓦利马
TL.ER,Ermera,Ermera,1644865,TL,ER,埃尔梅拉县
TL.DI,Dili Municipality,Dili Municipality,1645456,TL,DI,帝力县
TL.BO,Bobonaro,Bobonaro,1648513,TL,BO,博博纳罗县
TL.BA,Baucau,Baucau,1649538,TL,BA,包考县
TL.OE,Oecusse,Oecusse,1651539,TL,OE,奥库西县
TL.AN,Ainaro,Ainaro,1651809,TL,AN,阿伊纳罗县
TL.AL,Aileu,Aileu,1651815,TL,AL,阿伊莱乌县
