code,name,name_ascii,geonameid,iso,id,name_cn
TN.37,Zaghouan Governorate,Zaghouan Governorate,2464038,TN,37,宰格万省
TN.36,Tunis Governorate,Tunis Governorate,2464464,TN,36,突尼斯省
TN.35,Tozeur Governorate,Tozeur Governorate,2464645,TN,35,托泽尔省
TN.34,Tataouine,Tataouine,2464698,TN,34,泰塔温省
TN.23,Sousse Governorate,Sousse Governorate,2464912,TN,23,苏塞省
TN.22,Siliana Governorate,Siliana Governorate,2465027,TN,22,锡勒亚奈省
TN.33,Sidi Bouzid Governorate,Sidi Bouzid Governorate,2465837,TN,33,西迪布济德省
TN.32,Sfax Governorate,Sfax Governorate,2467450,TN,32,斯法克斯省
TN.31,Kebili Governorate,Kebili Governorate,2468014,TN,31,吉比利省
TN.30,Gafsa,Gafsa,2468351,TN,30,加夫萨省
TN.29,Gabès Governorate,Gabes Governorate,2468365,TN,29,加贝斯省
TN.19,Nabeul Governorate,Nabeul Governorate,2468576,TN,19,纳布勒省
TN.28,Medenine Governorate,Medenine Governorate,2469470,TN,28,梅德宁省
TN.06,Jendouba Governorate,Jendouba Governorate,2470085,TN,6,坚杜拜省
TN.27,Ben Arous Governorate,Ben Arous Governorate,2472477,TN,27,本阿鲁斯省
TN.18,Bizerte Governorate,Bizerte Governorate,2472699,TN,18,比塞大省
TN.17,Béja Governorate,Beja Governorate,2472770,TN,17,贝贾省
TN.38,Ariana Governorate,Ariana Governorate,2473245,TN,38,艾尔亚内省
TN.03,Kairouan,Kairouan,2473451,TN,3,凯鲁万省
TN.02,Kasserine Governorate,Kasserine Governorate,2473460,TN,2,卡塞林省
TN.16,Monastir Governorate,Monastir Governorate,2473495,TN,16,莫纳斯提尔省
TN.15,Mahdia Governorate,Mahdia Governorate,2473574,TN,15,马赫迪耶省
TN.14,Kef Governorate,Kef Governorate,2473637,TN,14,卡夫省
TN.39,Manouba,Manouba,6201192,TN,39,马努巴省
