code,name,name_ascii,geonameid,iso,id,name_cn
TT.11,Tobago,Tobago,3573606,TT,11,多巴哥岛
TT.10,San Fernando,San Fernando,3573739,TT,10,圣费尔南多
TT.05,Port of Spain,Port of Spain,3573891,TT,05,西班牙港
TT.03,Mayaro,Mayaro,3574155,TT,03,马亚罗区
TT.01,Borough of Arima,Borough of Arima,3575052,TT,01,阿里马
TT.CHA,Chaguanas,Chaguanas,7521937,TT,CHA,查瓜纳斯
TT.CTT,Couva-Tabaquite-Talparo,Couva-Tabaquite-Talparo,7521938,TT,CTT,库瓦-塔瓦基特-塔尔帕罗地区
TT.DMN,Diego Martin Regional Corporation,Diego Martin Regional Corporation,7521939,TT,DMN,迭戈马丁地区
TT.PED,Penal/Debe,Penal/Debe,7521941,TT,PED,佩纳尔-德贝区
TT.PRT,Princes Town,Princes Town,7521942,TT,PRT,王子镇地区
TT.PTF,Point Fortin,Point Fortin,7521943,TT,PTF,皮安特福廷自治市
TT.SGE,Sangre Grande Regional Corporation,Sangre Grande Regional Corporation,7521944,TT,SGE,圣格兰德区
TT.SIP,Siparia Regional Corporation,Siparia Regional Corporation,7521945,TT,SIP,锡帕里亚郡
TT.SJL,San Juan/Laventille,San Juan/Laventille,7521946,TT,SJL,圣胡安-拉文蒂尔区
TT.TUP,Tunapuna/Piarco,Tunapuna/Piarco,7521947,TT,TUP,图纳普纳-皮亚尔科区
