code,name,name_ascii,geonameid,iso,id,name_cn
UA.27,Zhytomyr,Zhytomyr,686966,UA,27,日托米尔州
UA.26,Zaporizhzhia,Zaporizhzhia,687699,UA,26,扎波罗热州
UA.25,Transcarpathia,Transcarpathia,687869,UA,25,外喀尔巴阡州
UA.24,Volyn,Volyn,689064,UA,24,沃伦州
UA.23,Vinnytsia,Vinnytsia,689559,UA,23,文尼察州
UA.22,Ternopil,Ternopil,691649,UA,22,捷尔诺波尔州
UA.21,Sumy,Sumy,692196,UA,21,苏梅州
UA.20,Sevastopol City,Sevastopol City,694422,UA,20,塞瓦斯托波尔市
UA.19,Rivne,Rivne,695592,UA,19,罗夫诺州
UA.18,Poltava,Poltava,696634,UA,18,波尔塔瓦州
UA.17,Odessa,Odessa,698738,UA,17,敖德萨州
UA.16,Mykolaiv,Mykolaiv,700567,UA,16,尼古拉耶夫州
UA.15,Lviv,Lviv,702549,UA,15,利沃夫州
UA.14,Luhansk,Luhansk,702657,UA,14,卢甘斯克州
UA.13,Kiev,Kiev,703446,UA,13,基辅州
UA.12,Kyiv City,Kyiv City,703447,UA,12,基辅市
UA.11,Crimea,Crimea,703883,UA,11,克里米亚自治共和国
UA.10,Kirovohrad,Kirovohrad,705811,UA,10,基洛夫格勒州
UA.09,Khmelnytskyi,Khmelnytskyi,706370,UA,9,赫梅利尼茨基州
UA.08,Kherson,Kherson,706442,UA,8,赫尔松州
UA.07,Kharkivs’ka Oblast’,Kharkivs'ka Oblast',706482,UA,7,哈尔科夫州
UA.06,Ivano-Frankivsk,Ivano-Frankivsk,707470,UA,6,伊万诺-弗兰科夫斯克州
UA.05,Donetsk,Donetsk,709716,UA,5,顿涅茨克州
UA.04,Dnipropetrovsk,Dnipropetrovsk,709929,UA,4,第聂伯罗州
UA.03,Chernivtsi,Chernivtsi,710720,UA,3,切尔诺夫策州
UA.02,Chernihiv,Chernihiv,710734,UA,2,切尔尼戈夫州
UA.01,Cherkasy,Cherkasy,710802,UA,1,切尔卡瑟州
