code,name,name_ascii,geonameid,iso,id,name_cn
US.AR,Arkansas,Arkansas,4099753,US,AR,阿肯色州
US.DC,District of Columbia,District of Columbia,4138106,US,DC,哥伦比亚特区
US.DE,Delaware,Delaware,4142224,US,DE,特拉华州
US.FL,Florida,Florida,4155751,US,FL,佛罗里达州
US.GA,Georgia,Georgia,4197000,US,GA,佐治亚州
US.KS,Kansas,Kansas,4273857,US,KS,堪萨斯州
US.LA,Louisiana,Louisiana,4331987,US,LA,路易斯安那州
US.MD,Maryland,Maryland,4361885,US,MD,马里兰州
US.MO,Missouri,Missouri,4398678,US,MO,密苏里州
US.MS,Mississippi,Mississippi,4436296,US,MS,密西西比州
US.NC,North Carolina,North Carolina,4482348,US,NC,北卡罗来纳州
US.OK,Oklahoma,Oklahoma,4544379,US,OK,俄克拉荷马州
US.SC,South Carolina,South Carolina,4597040,US,SC,南卡罗来纳州
US.TN,Tennessee,Tennessee,4662168,US,TN,田纳西州
US.TX,Texas,Texas,4736286,US,TX,得克萨斯州
US.WV,West Virginia,West Virginia,4826850,US,WV,西維吉尼亞州
US.AL,Alabama,Alabama,4829764,US,AL,亚拉巴马州
US.CT,Connecticut,Connecticut,4831725,US,CT,康涅狄格州
US.IA,Iowa,Iowa,4862182,US,IA,爱荷华州
US.IL,Illinois,Illinois,4896861,US,IL,伊利诺伊州
US.IN,Indiana,Indiana,4921868,US,IN,印第安纳州
US.ME,Maine,Maine,4971068,US,ME,缅因州
US.MI,Michigan,Michigan,5001836,US,MI,密歇根州
US.MN,Minnesota,Minnesota,5037779,US,MN,明尼苏达州
US.NE,Nebraska,Nebraska,5073708,US,NE,內布拉斯加州
US.NH,New Hampshire,New Hampshire,5090174,US,NH,新罕布什尔州
US.NJ,New Jersey,New Jersey,5101760,US,NJ,新泽西州
US.NY,New York,New York,5128638,US,NY,纽约州
US.OH,Ohio,Ohio,5165418,US,OH,俄亥俄州
US.RI,Rhode Island,Rhode Island,5224323,US,RI,罗得岛州
US.VT,Vermont,Vermont,5242283,US,VT,佛蒙特州
US.WI,Wisconsin,Wisconsin,5279468,US,WI,威斯康星州
US.CA,California,California,5332921,US,CA,加州
US.CO,Colorado,Colorado,5417618,US,CO,科罗拉多州
US.NM,New Mexico,New Mexico,5481136,US,NM,新墨西哥州
US.NV,Nevada,Nevada,5509151,US,NV,内华达州
US.UT,Utah,Utah,5549030,US,UT,犹他州
US.AZ,Arizona,Arizona,5551752,US,AZ,亚利桑那州
US.ID,Idaho,Idaho,5596512,US,ID,爱达荷州
US.MT,Montana,Montana,5667009,US,MT,蒙大拿州
US.ND,North Dakota,North Dakota,5690763,US,ND,北达科他州
US.OR,Oregon,Oregon,5744337,US,OR,俄勒冈州
US.SD,South Dakota,South Dakota,5769223,US,SD,南达科他州
US.WA,Washington,Washington,5815135,US,WA,华盛顿州
US.WY,Wyoming,Wyoming,5843591,US,WY,怀俄明州
US.HI,Hawaii,Hawaii,5855797,US,HI,夏威夷州
US.AK,Alaska,Alaska,5879092,US,AK,阿拉斯加州
US.KY,Kentucky,Kentucky,6254925,US,KY,肯塔基州
US.MA,Massachusetts,Massachusetts,6254926,US,MA,马萨诸塞州
US.PA,Pennsylvania,Pennsylvania,6254927,US,PA,宾夕法尼亚州
US.VA,Virginia,Virginia,6254928,US,VA,弗吉尼亚州
