code,name,name_ascii,geonameid,iso,id,name_cn
UY.19,Treinta y Tres Department,Treinta y Tres Department,3439780,UY,19,三十三人省
UY.18,Tacuarembó Department,Tacuarembo Department,3440033,UY,18,塔夸伦博省
UY.17,Soriano,Soriano,3440054,UY,17,索里亚诺省
UY.16,San José Department,San Jose Department,3440645,UY,16,圣何塞省
UY.15,Salto Department,Salto Department,3440711,UY,15,萨尔托省
UY.14,Rocha Department,Rocha Department,3440771,UY,14,罗恰省
UY.13,Rivera Department,Rivera Department,3440780,UY,13,里韦拉省
UY.12,Río Negro Department,Rio Negro Department,3440789,UY,12,内格罗河省
UY.11,Paysandú Department,Paysandu Department,3441242,UY,11,派桑杜省
UY.10,Montevideo Department,Montevideo Department,3441572,UY,10,蒙得维的亚省
UY.09,Maldonado,Maldonado,3441890,UY,9,马尔多纳多省
UY.08,Lavalleja,Lavalleja,3442007,UY,8,拉瓦耶哈省
UY.07,Florida,Florida,3442584,UY,7,佛罗里达省
UY.06,Flores Department,Flores Department,3442587,UY,6,弗洛雷斯省
UY.05,Durazno Department,Durazno Department,3442720,UY,5,杜拉斯诺省
UY.04,Colonia,Colonia,3443025,UY,4,科洛尼亚省
UY.03,Cerro Largo,Cerro Largo,3443173,UY,3,塞罗拉尔戈省
UY.02,Canelones,Canelones,3443411,UY,2,卡内洛内斯省
UY.01,Artigas,Artigas,3443756,UY,1,阿蒂加斯省
