code,name,name_ascii,geonameid,iso,id,name_cn
UZ.09,Karakalpakstan,Karakalpakstan,453752,UZ,9,卡拉卡尔帕克斯坦共和国
UZ.12,Surxondaryo Region,Surxondaryo Region,1114926,UZ,12,苏尔汉河州
UZ.10,Samarqand Region,Samarqand Region,1114927,UZ,10,撒马尔罕州
UZ.08,Qashqadaryo,Qashqadaryo,1114928,UZ,8,卡什卡达里亚州
UZ.02,Bukhara,Bukhara,1114929,UZ,2,布哈拉州
UZ.14,Tashkent Region,Tashkent Region,1484838,UZ,14,塔什干州
UZ.13,Tashkent,Tashkent,1484839,UZ,13,塔什干
UZ.16,Sirdaryo Region,Sirdaryo Region,1484840,UZ,16,锡尔河州
UZ.07,Navoiy Region,Navoiy Region,1484841,UZ,7,纳沃伊州
UZ.06,Namangan,Namangan,1484842,UZ,6,纳曼干州
UZ.05,Xorazm Region,Xorazm Region,1484843,UZ,5,花拉子模州
UZ.15,Jizzakh Region,Jizzakh Region,1484844,UZ,15,吉扎克州
UZ.03,Fergana,Fergana,1484845,UZ,3,费尔干纳州
UZ.01,Andijan Region,Andijan Region,1484846,UZ,1,安集延州
