code,name,name_ascii,geonameid,iso,id,name_cn
VE.23,Zulia,Zulia,3625035,VE,23,
VE.22,Yaracuy,Yaracuy,3625210,VE,22,
VE.21,Trujillo,Trujillo,3625974,VE,21,
VE.20,Táchira,Tachira,3626553,VE,20,
VE.19,Sucre,Sucre,3626655,VE,19,
VE.18,Portuguesa,Portuguesa,3629941,VE,18,
VE.17,Nueva Esparta,Nueva Esparta,3631462,VE,17,
VE.16,Monagas,Monagas,3632100,VE,16,
VE.15,Miranda,Miranda,3632191,VE,15,
VE.14,Mérida,Merida,3632306,VE,14,
VE.13,Lara,Lara,3636539,VE,13,
VE.12,Guárico,Guarico,3640017,VE,12,
VE.24,Dependencias Federales,Dependencias Federales,3640846,VE,24,
VE.25,Distrito Federal,Distrito Federal,3640847,VE,25,首都區
VE.11,Falcón,Falcon,3640873,VE,11,
VE.09,Delta Amacuro,Delta Amacuro,3644541,VE,9,阿马库罗三角洲州
VE.08,Cojedes,Cojedes,3645386,VE,8,
VE.07,Carabobo,Carabobo,3646751,VE,7,
VE.06,Bolívar,Bolivar,3648106,VE,6,
VE.05,Barinas,Barinas,3648544,VE,5,
VE.04,Aragua,Aragua,3649110,VE,4,
VE.03,Apure,Apure,3649151,VE,3,
VE.02,Anzoátegui,Anzoategui,3649198,VE,2,
VE.01,Amazonas,Amazonas,3649302,VE,1,
VE.26,Vargas,Vargas,3830309,VE,26,
