code,name,name_ascii,geonameid,iso,id,name_cn
VN.58,Nghệ An Province,Nghe An Province,1559969,VN,58,乂安省
VN.59,Ninh Bình Province,Ninh Binh Province,1559970,VN,59,宁平省
VN.60,Ninh Thuận Province,Ninh Thuan Province,1559971,VN,60,宁顺省
VN.65,Sóc Trăng Province,Soc Trang Province,1559972,VN,65,朔庄省
VN.67,Trà Vinh Province,Tra Vinh Province,1559975,VN,67,茶荣省
VN.68,Tuyên Quang Province,Tuyen Quang Province,1559976,VN,68,宣光省
VN.69,Vĩnh Long Province,Vinh Long Province,1559977,VN,69,永隆省
VN.70,Yên Bái Province,Yen Bai Province,1559978,VN,70,安沛省
VN.90,Lào Cai Province,Lao Cai Province,1562412,VN,90,老街省
VN.37,Tiền Giang,Tien Giang,1564676,VN,37,前江省
VN.66,Thừa Thiên Huế Province,Thua Thien Hue Province,1565033,VN,66,承天顺化省
VN.55,Kon Tum,Kon Tum,1565088,VN,55,昆嵩省
VN.34,Thanh Hóa Province,Thanh Hoa Province,1566165,VN,34,清化省
VN.35,Thái Bình Province,Thai Binh Province,1566338,VN,35,太平省
VN.33,Tây Ninh Province,Tay Ninh Province,1566557,VN,33,西宁省
VN.32,Sơn La Province,Son La Province,1567643,VN,32,山罗省
VN.64,Quảng Trị Province,Quang Tri Province,1568733,VN,64,广治省
VN.30,Quảng Ninh,Quang Ninh,1568758,VN,30,广宁省
VN.63,Quảng Ngãi Province,Quang Ngai Province,1568769,VN,63,广义省
VN.62,Quảng Bình Province,Quang Binh Province,1568839,VN,62,广平省
VN.61,Phú Yên Province,Phu Yen Province,1569805,VN,61,富安省
VN.53,Hòa Bình Province,Hoa Binh Province,1572594,VN,53,
VN.24,Long An Povince,Long An Povince,1575788,VN,24,隆安省
VN.39,Lạng Sơn Province,Lang Son Province,1576632,VN,39,谅山省
VN.23,Lâm Đồng Province,Lam GJong Province,1577882,VN,23,林同省
VN.89,Lai Châu Province,Lai Chau Province,1577954,VN,89,莱州省
VN.21,Kiên Giang Province,Kien Giang Province,1579008,VN,21,
VN.54,Khánh Hòa Province,Khanh Hoa Province,1579634,VN,54,庆和省
VN.20,Ho Chi Minh,Ho Chi Minh,1580578,VN,20,胡志明市
VN.52,Hà Tĩnh Province,Ha Tinh Province,1580700,VN,52,河静省
VN.50,Hà Giang Province,Ha Giang Province,1581030,VN,50,河江省
VN.49,Gia Lai Province,Gia Lai Province,1581088,VN,49,嘉莱省
VN.44,Hanoi,Hanoi,1581129,VN,44,河内市
VN.87,Can Tho,Can Tho,1581188,VN,87,芹苴市
VN.13,Haiphong,Haiphong,1581297,VN,13,海防市
VN.47,Bình Thuận Province,Binh Thuan Province,1581882,VN,47,平顺省
VN.09,Đồng Tháp Province,GJong Thap Province,1582562,VN,9,同塔省
VN.43,Đồng Nai Province,GJong Nai Province,1582720,VN,43,同奈省
VN.88,Đắk Lắk,GJak Lak,1584169,VN,88,多乐省
VN.45,Bà Rịa–Vũng Tàu Province,Ba Ria-Vung Tau Province,1584534,VN,45,巴地头顿省
VN.05,Cao Bằng Province,Cao Bang Province,1586182,VN,5,高平省
VN.46,Bình Định Province,Binh GJinh Province,1587871,VN,46,平定省
VN.03,Bến Tre Province,Ben Tre Province,1587974,VN,3,槟椥省
VN.01,An Giang Province,An Giang Province,1594446,VN,1,安江省
VN.91,Đăk Nông Province,GJak Nong Province,1904987,VN,91,
VN.92,Điện Biên Province,GJien Bien Province,1905099,VN,92,
VN.74,Bắc Ninh Province,Bac Ninh Province,1905412,VN,74,北宁省
VN.71,Bắc Giang Province,Bac Giang Province,1905419,VN,71,北江省
VN.78,Da Nang,Da Nang,1905468,VN,78,岘港市
VN.75,Bình Dương Province,Binh Duong Province,1905475,VN,75,平阳省
VN.76,Bình Phước Province,Binh Phuoc Province,1905480,VN,76,平福省
VN.85,Thái Nguyên Province,Thai Nguyen Province,1905497,VN,85,太原省
VN.84,Quảng Nam Province,Quang Nam Province,1905516,VN,84,广南省
VN.83,Phú Thọ Province,Phu Tho Province,1905577,VN,83,富寿省
VN.82,Nam Định Province,Nam GJinh Province,1905626,VN,82,南定省
VN.80,Hà Nam Province,Ha Nam Province,1905637,VN,80,河南省
VN.72,Bắc Kạn Province,Bac Kan Province,1905669,VN,72,北𣴓省
VN.73,Bạc Liêu Province,Bac Lieu Province,1905675,VN,73,薄寮省
VN.77,Cà Mau Province,Ca Mau Province,1905678,VN,77,金瓯省
VN.79,Hải Dương Province,Hai Duong Province,1905686,VN,79,
VN.81,Hưng Yên Province,Hung Yen Province,1905699,VN,81,興安省
VN.86,Vĩnh Phúc Province,Vinh Phuc Province,1905856,VN,86,永福省
VN.93,Hậu Giang,Hau Giang,7506719,VN,93,后江省
