code,name,name_ascii,geonameid,iso,id,name_cn
WS.11,Vaisigano,Vaisigano,4034910,WS,11,韦西加诺
WS.06,Va'a-o-Fonoti,Va'a-o-Fonoti,4034943,WS,6,瓦奥福诺蒂
WS.10,Tuamasaga,Tuamasaga,4034977,WS,10,图阿马萨加
WS.09,Satupa'itea,Satupa'itea,4035046,WS,9,萨图帕伊泰阿
WS.08,Palauli,Palauli,4035154,WS,8,帕劳利
WS.07,Gaga'ifomauga,Gaga'ifomauga,4035313,WS,7,加盖福毛加
WS.05,Gaga'emauga,Gaga'emauga,4035314,WS,5,加加埃毛加
WS.04,Fa'asaleleaga,Fa'asaleleaga,4035383,WS,4,法塞莱莱阿加
WS.03,Atua,Atua,4035402,WS,3,阿图阿
WS.02,Aiga-i-le-Tai,Aiga-i-le-Tai,4035425,WS,2,艾加伊勒泰
WS.01,A'ana,A'ana,4035434,WS,1,阿纳
