code,name,name_ascii,geonameid,iso,id,name_cn
YE.25,Ta‘izz,Ta'izz,70222,YE,25,塔伊兹省
YE.05,Shabwah,Shabwah,70935,YE,5,舍卜沃省
YE.16,Sanaa Governorate,Sanaa Governorate,71132,YE,16,萨那省
YE.15,Şa‘dah,Sa'dah,71333,YE,15,萨达省
YE.27,Raymah,Raymah,71532,YE,27,赖马省
YE.14,Ma’rib,Ma'rib,72966,YE,14,马里卜省
YE.10,Al Mahwit Governorate,Al Mahwit Governorate,73200,YE,10,迈赫维特省
YE.21,Al Jawf,Al Jawf,74222,YE,21,焦夫省
YE.04,Muhafazat Hadramaout,Muhafazat Hadramaout,75411,YE,4,哈德拉毛省
YE.11,Dhamār,Dhamar,76183,YE,11,扎马尔省
YE.03,Al Mahrah Governorate,Al Mahrah Governorate,78985,YE,3,迈赫拉省
YE.08,Al Hudaydah,Al Hudaydah,79416,YE,8,荷台达省
YE.20,Al Bayda,Al Bayda,79838,YE,20,贝达省
YE.02,Aden,Aden,80412,YE,2,亚丁省
YE.01,Abyan Governorate,Abyan Governorate,80425,YE,1,阿比扬省
YE.18,Aḑ Ḑāli‘,Ad Dali',6201193,YE,18,达利阿省
YE.19,Omran,Omran,6201194,YE,19,阿姆兰省
YE.22,Ḩajjah,Hajjah,6201195,YE,22,哈杰省
YE.23,Ibb Governorate,Ibb Governorate,6201196,YE,23,伊卜省
YE.24,Laḩij,Lahij,6201197,YE,24,拉赫季省
YE.26,Amanat Alasimah,Amanat Alasimah,6940571,YE,26,萨那直辖区
YE.28,Soqatra,Soqatra,9645387,YE,28,索科特拉省
