code,name,name_ascii,geonameid,iso,id,name_cn
YT.97601,Acoua,Acoua,7521421,YT,97601,
YT.97602,Bandraboua,Bandraboua,7521422,YT,97602,
YT.97603,Bandrele,Bandrele,7521423,YT,97603,
YT.97604,Bouéni,Boueni,7521424,YT,97604,
YT.97605,Chiconi,Chiconi,7521425,YT,97605,
YT.97606,Chirongui,Chirongui,7521426,YT,97606,
YT.97607,Dembeni,Dembeni,7521427,YT,97607,
YT.97608,Dzaoudzi,Dzaoudzi,7521428,YT,97608,
YT.97609,Kani-Kéli,Kani-Keli,7521429,YT,97609,
YT.97610,Koungou,Koungou,7521430,YT,97610,
YT.97611,Mamoudzou,Mamoudzou,7521431,YT,97611,
YT.97612,Mtsamboro,Mtsamboro,7521432,YT,97612,
YT.97613,M'Tsangamouji,M'Tsangamouji,7521433,YT,97613,
YT.97614,Ouangani,Ouangani,7521434,YT,97614,
YT.97615,Pamandzi,Pamandzi,7521435,YT,97615,
YT.97616,Sada,Sada,7521436,YT,97616,萨达
YT.97617,Tsingoni,Tsingoni,7521437,YT,97617,
