code,name,name_ascii,geonameid,iso,id,name_cn
ZM.01,Western Province,Western Province,896140,ZM,1,西部省
ZM.07,Southern Province,Southern Province,896972,ZM,7,南部省
ZM.06,North-Western,North-Western,900594,ZM,6,西北省
ZM.05,Northern Province,Northern Province,900601,ZM,5,北部省
ZM.09,Lusaka Province,Lusaka Province,909129,ZM,9,卢萨卡省
ZM.04,Luapula Province,Luapula Province,909845,ZM,4,卢阿普拉省
ZM.03,Eastern Province,Eastern Province,917388,ZM,3,东部省
ZM.08,Copperbelt,Copperbelt,917524,ZM,8,铜带省
ZM.02,Central Province,Central Province,921064,ZM,2,中央省
ZM.10,Muchinga,Muchinga,11154503,ZM,10,穆钦加省
