code,name,name_ascii,geonameid,iso,id,name_cn
ZW.02,Midlands Province,Midlands Province,886119,ZW,2,中部省
ZW.07,Matabeleland South Province,Matabeleland South Province,886747,ZW,7,南马塔贝莱兰省
ZW.06,Matabeleland North,Matabeleland North,886748,ZW,6,北马塔贝莱兰省
ZW.08,Masvingo Province,Masvingo Province,886761,ZW,8,马斯温戈省
ZW.05,Mashonaland West,Mashonaland West,886841,ZW,5,西马绍纳兰省
ZW.04,Mashonaland East Province,Mashonaland East Province,886842,ZW,4,东马绍纳兰省
ZW.03,Mashonaland Central,Mashonaland Central,886843,ZW,3,中马绍纳兰省
ZW.01,Manicaland,Manicaland,887358,ZW,1,马尼卡兰省
ZW.09,Bulawayo,Bulawayo,1105843,ZW,9,布拉瓦约省
ZW.10,Harare,Harare,1105844,ZW,10,哈拉雷省
